Name,val,caracteristica
iPhone 11 Pro 512 GB Gris espacial,$6.649.000,Memoria Interna - 512 GB
iPhone 11 Pro 256 GB verde noche,$5.669.000,Memoria Interna - 256 GB
Case Silicone iPhone 11 Pro Max Arena,$183.000,Carcasa o Estuche Para - Celular
iPhone XS Max 256GB Gris,$5.489.000,Memoria Interna - 256 GB
iPhone 7 - 32GB Negro,$1.399.900,Memoria Interna - 32 GB
iPhone 7 - 32GB Plateado,$1.119.000,Memoria Interna - 32 GB
iPhone XS Max 64GB Gris,$3.149.000,Memoria Interna - 64 GB
iPhone 7 - 32GB Rosado,$1.119.000,Memoria Interna - 32 GB
"iPhone XR 64GB ""Rojo",$2.899.000,Memoria Interna - 64 GB
"iPhone SE 128GB ""Rojo",$2.399.000,Memoria Interna - 128 GB
"iPhone XR 64GB ""Negro",$2.899.000,Memoria Interna - 64 GB
"iPhone SE 128GB  ""Blanco",$2.399.000,Memoria Interna - 128 GB
Celular SAMSUNG Galaxy A11-64 GB Negro,$519.900,Memoria Interna - 64 GB
Celular SAMSUNG Galaxy A11-64 GB Blanco,$519.900,Memoria Interna - 64 GB
Celular SAMSUNG Galaxy A11-64 GB Azul,$519.900,Memoria Interna - 64 GB
Celular SAMSUNG Galaxy S20 FE 256GB Azul + Celular Galaxy A11 Negro,$2.999.090,Memoria Interna - 256 GB
Celular SAMSUNG Galaxy S20 FE 256GB Naranja + Celular Galaxy A11 Negro,$2.999.090,Memoria Interna - 256 GB
Celular SAMSUNG Galaxy S20 FE 256GB Verde + Celular Galaxy A11 Negro,$2.999.090,Memoria Interna - 256 GB
Celular SAMSUNG Galaxy S20 FE 256GB Morado + Celular Galaxy A11 Negro,$2.999.090,Memoria Interna - 256 GB
Celular NOKIA 1.3 - 16GB Negro,$319.900,Memoria Interna - 16 GB
Celular NOKIA 1.3 - 16GB Dorado,$319.900,Memoria Interna - 16 GB
Celular NOKIA 1.3 - 16GB Verde,$319.900,Memoria Interna - 16 GB
Celular SAMSUNG Galaxy A01 Core 16GB Rojo,$299.900,Memoria Interna - 16 GB
Celular SAMSUNG Galaxy A01 Core 16GB Azul,$299.900,Memoria Interna - 16 GB
Celular SAMSUNG Galaxy A01 Core 16GB Negro,$299.900,Memoria Interna - 16 GB
