Nombre,Precio,Características,Tienda
iPhone 11 Pro 512 GB Gris espacial,$6.649.000,Memoria Interna - 512 GB,Ktronix
iPhone 11 Pro 256 GB verde noche,$5.669.000,Memoria Interna - 256 GB,Ktronix
iPhone 11 128 GB Blanco,$3.335.000,Memoria Interna - 128 GB,Ktronix
iPhone 11 128 GB Rojo,$3.335.000,Memoria Interna - 128 GB,Ktronix
iPhone 11 128 GB Negro,$3.335.000,Memoria Interna - 128 GB,Ktronix
Cel 4G iPhone 7 32GB Dr,$1.419.000,Carcasa o Estuche Para - Celular,Ktronix
Case Silicone iPhone 11 Pro Max Arena,$183.000,Memoria Interna - 256 GB,Ktronix
iPhone XS Max 256GB Gris,$5.489.000,Memoria Interna - 32 GB,Ktronix
iPhone 7 - 32GB Negro,$1.419.000,Memoria Interna - 32 GB,Ktronix
iPhone 7 - 32GB Plateado,$1.149.000,Memoria Interna - 32 GB,Ktronix
iPhone 7 - 32GB Rosado,$1.149.000,Memoria Interna - 64 GB,Ktronix
iPhone XS Max 64GB Gris,$2.999.000,Memoria Interna - 128 GB,Ktronix
iPhone 12 128 GB Negro,$4.499.000,Memoria Interna - 128 GB,Ktronix
iPhone 12 128 GB Blanco,$4.499.000,Memoria Interna - 128 GB,Ktronix
iPhone 12 Rojo 128 GB,$4.499.000,Memoria Interna - 128 GB,Ktronix
iPhone 12 128 GB Azul,$4.499.000,Memoria Interna - 256 GB,Ktronix
iPhone 12 256 GB Azul,$5.029.000,Memoria Interna - 64 GB,Ktronix
iPhone 12 64 GB Negro,$4.229.000,Memoria Interna - 64 GB,Ktronix
iPhone 12 Rojo 64 GB,$4.229.000,Memoria Interna - 64 GB,Ktronix
iPhone 12 64 GB Azul,$4.229.000,Memoria Interna - 128 GB,Ktronix
iPhone SE 128GB Rojo,$2.276.000,Memoria Interna - 64 GB,Ktronix
iPhone XR 64GB Rojo,$2.599.000,Memoria Interna - 64 GB,Ktronix
iPhone XR 64GB Blanco,$2.599.000,Memoria Interna - 128 GB,Ktronix
iPhone SE 128GB Blanco,$2.276.000,Memoria Interna - 64 GB,Ktronix
Apple iPhone 11 6.1'' 128GB Negro,739€,Pantalla - 6.1'' (15.49 cm) LCD IPS Liquid Retina HD (1792 x 828 ppp) Multitáctil Pantalla True Tone,FNAC
Apple iPhone 11 6.1'' 128GB Violeta,739€,Pantalla - 6.1'' (15.49 cm) LCD IPS Liquid Retina HD (1792 x 828 ppp) Multitáctil Pantalla True Tone,FNAC
Apple iPhone 11 6.1'' 128GB Blanco,739€,Pantalla - 6.1'' (15.49 cm) LCD IPS Liquid Retina HD (1792 x 828 ppp) Multitáctil Pantalla True Tone,FNAC
Apple iPhone 11 6.1'' 128GB Verde,739€,Pantalla - 6.1'' (15.49 cm) LCD IPS Liquid Retina HD (1792 x 828 ppp) Multitáctil Pantalla True Tone,FNAC
Apple iPhone 11 Pro 5.8'' 256GB Gris espacial,1.229€,Pantalla - 5.8'' (14.7 cm) OLED HDR (2436 x 1125 ppp) Multitáctil Súper Retina XDR Pantalla True Tone,FNAC
Apple iPhone 11 Pro Max 6.5'' 64GB Verde noche,1.159€,Pantalla - 6.5'' (16.51 cm) OLED HDR (2688 x 1242 ppp) Multitáctil Súper Retina XDR Pantalla True Tone,FNAC
Apple iPhone 11 Pro Max 6.5'' 256GB Oro,1.329€,Pantalla - 6.5'' (16.51 cm) OLED HDR (2688 x 1242 ppp) Multitáctil Súper Retina XDR Pantalla True Tone,FNAC
Apple iPhone 11 6.1'' 64GB Negro,599€,Pantalla - 6.1'' (15.49 cm) LCD IPS Liquid Retina HD (1792 x 828 ppp) Multitáctil Pantalla True Tone,FNAC
Apple iPhone 11 6.1'' 64GB Blanco,599€,Pantalla - 6.1'' (15.49 cm) LCD IPS Liquid Retina HD (1792 x 828 ppp) Multitáctil Pantalla True Tone,FNAC
